states,x,y
Washington,-280.0,184.0
Oregon,-318.0,130.0
California,-330.0,74.0
Nevada,-260.0,38.0
Utah,-191.0,24.0
Idaho,-208.0,112.0
Montana,-158.0,158.0
Wyoming,-137.0,100.0
Colorado,-137.0,16.0
Arizona,-230.0,-44.0
New mexico,-155.0,-70.0
Texas,-71.0,-108.0
Oklahoma,-37.0,-45.0
Kansas,-60.0,5.0
Nebraska,-80.0,70.0
South dakota,-77.0,108.0
North dakota,-73.0,162.0
Minnesota,7.0,146.0
Iowa,20.0,66.0
Missouri,36.0,2.0
Arkansas,39.0,-52.0
Mississippi,83.0,-74.0
Louisiana,47.0,-107.0
Illinois,77.0,40.0
Wisconsin,58.0,124.0
Michigan,131.0,103.0
Indiana,122.0,38.0
Ohio,156.0,47.0
Kentucky,119.0,-8.0
Tennessee,101.0,-36.0
Alabama,119.0,-87.0
Georgia,170.0,-79.0
South carolina,190.0,-43.0
North carolina,196.0,-20.0
Virginia,207.0,-0.0
West virginia,189.0,19.0
Pennsylvania,210.0,65.0
New york,223.0,98.0
Vermont,282.0,140.0
Florida,208.0,-137.0
New jersey,283.0,66.0
Massachusetts,289.0,108.0
New hampshire,297.0,129.0
Maine,312.0,166.0
Maryland,275.0,35.0
Delaware,279.0,52.0
Connecticut,293.0,88.0
Rhode island,312.0,100.0
